#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#text1.csv replacements
ALLOW_REVOKATION_ON;Revocation of titles Allowed\n;Annulation des titres autorisée;Entzug gewährter Titel gestattet;;Revocación de títulos permitida;;;;;;;;;x
EVTDESC_SoA_5053;You have finally arrived at Rome! As you enter the Eternal City, you are struck by the many ancient buildings and monuments that you pass by. It is truly impressive, and you try to imagine how the apostles felt when they first came here on their holy mission at a time when the city's power was at its peak. Though large areas seem to be depopulated, the city still boasts an impressive population concentrated around the Tiber river. The holy sites you want to visit are primarily the basilicas of Saint Peter and Saint Paul, as well as other early churches and places connected to the martyrs. You start making your way to the center of the city, hoping that you won't get lost in traffic as the crowds start to get more dense.;Vous voici enfin à Rome ! Alors que vous entrez dans la ville éternelle, vous êtes frappé par le nombre de bâtiments et de monuments anciens que vous voyez. Cela fait sur vous une forte impression et vous tentez d'imaginer ce qu'ont pu ressentir les apôtres lorsqu'ils sont arrivés ici la première fois pour accomplir leur mission, à une époque où la cité était au faîte de sa puissance. Aujourd'hui, d'importants quartiers semblent dépeuplés mais la ville regroupe tout de même une importante population concentrée autour du Tibre. Les sites sacrés que vous voulez visiter sont notamment les basiliques Saint-Pierre et Saint-Paul, ainsi que d'autres églises primitives et des lieux associés aux martyrs. Vous vous frayez un chemin jusqu'au centre de la ville, espérant ne pas vous perdre alors que la foule autour de vous devient de plus en plus dense.;Endlich erreicht Ihr Rom! Schon kurz nachdem Ihr die Ewige Stadt betretet, seid Ihr tief beeindruckt von der Vielzahl antiker Gebäude und Denkmäler. Ihr versucht Euch auszumalen, wie diese Ehrfurcht gebietende Stadt zu ihrer Blütezeit wohl auf die Apostel gewirkt haben mag, als diese vor langer Zeit in heiliger Mission hierher kamen. Auch wenn weite Teile der Stadt nicht mehr bewohnt sind, so wohnen doch noch immer viele Menschen in der Stadt, insbesondere an den Ufern des Tibers. Besonders die Basilika St. Paul und den Petersdom möchtet Ihr besichtigen, doch auch die anderen frühchristlichen Kirchen und die Plätze der Märtyrier möchtet Ihr erleben. So lasst Ihr Euch vom Strom der Menschen in Richtung des Zentrums tragen und hofft, dass Ihr den richtigen Weg finden werdet.;;¡Por fin habéis llegado a Roma! Al entrar en la Ciudad Eterna, descubrís los muchos edificios y monumentos antiguos que alberga. Es realmente impresionante. Tratáis de imaginar cómo se sintieron los apóstoles cuando llegaron por primera vez en su misión sagrada en la época de máximo apogeo del poder de la ciudad. Aunque amplias zonas parecen despobladas, la ciudad sigue alardeando de una población impresionante que se concentra alrededor del río Tíber. Los lugares sagrados que queréis visitar son, principalmente, las basílicas de San Pedro y San Pablo, así como otras iglesias antiguas y lugares relacionados con los mártires. Iniciáis vuestro camino hacia el centro de la ciudad, esperando no perderos entre el tráfico, pues cada vez hay más gente.;;;;;;;;;x
EVTOPTA_SoA_5053;A thousand roads lead men forever to Rome!;Tous les chemins mènent à Rome !;Tausend Wege führen die Menschen auf ewig nach Rom!;;¡Todos los caminos conducen a Roma!;;;;;;;;;x
EVTNAME_SoA_5054;Santiago;Santiago;Santiago;;Santiago;;;;;;;;;x
EVTDESC_SoA_5054;You have finally arrived at Santiago, the oldest major pilgrimage site in the West. It is an inland town close to the Atlantic Ocean, with origins going back at least to the Roman Empire. The fabled Way of Saint James is a long road to travel, and you have passed through many towns and villages on your way here.\n\nThe legend holds that as Saint James' remains were brought here by ship from Jerusalem, they were lost at sea due to a storm. But soon after they were miraculously washed ashore, covered in scallops. Because of this, scallop shells have become a popular souvenir among pilgrims.\n\nYour mind dwells on the legends of this holy place,  as you make your way through the crowds towards the center of town.;Vous voici enfin à Santiago, le plus ancien lieu de pèlerinage de l'ouest. La ville est proche de l'océan Atlantique et son origine remonte au moins à l'Empire romain. La célèbre route de saint Jacques est longue et vous avez traversé de nombreuses villes et villages avant d'arriver ici.\n\nSelon la légende, lorsque les restes de saint Jacques ont été apportés ici par bateau depuis Jérusalem, une tempête éclata et on les perdit en mer. Mais ils furent bientôt retrouvés sur le rivage, couverts de coquilles. C'est pour cette raison que les coquilles St-Jacques sont devenus très populaires auprès des pèlerins.\n\nVous songez aux légendes qui concernent ce lieu saint alors que vous vous frayez un chemin vers le centre de la ville.;Endlich erreicht Ihr Santiago, die älteste Pilgerstätte im Westen. Die Stadt liegt landeinwärts, in der Nähe des Atlantiks, und hat römische Wurzeln. Dem berühmten Jakobsweg folgend, habt Ihr viele Städte und Dörfer am Wegesrand hinter Euch gelassen.\n\nDer Legende nach war das Schiff, das die Gebeine des Hl. Jakobus hierher bringen sollte, in einem Sturm gesunken, doch wie durch ein Wunder fand man seine sterblichen Überreste an Land gespült wieder, nunmehr mit Muscheln bedeckt. So kam es, dass diese Jakobsmuscheln bei den Pilgern zu einem besonders beliebten Souvenir avancierten.\n\nEure Gedanken kreisen um diese und andere Legenden, als Ihr Euch im Strom der Menschen dem Zentrum der Stadt nähert.;;Por fin habéis llegado a Santiago, el escenario de peregrinación de mayor relevancia y antigüedad de Occidente. Es una población de interior cercana al océano Atlántico, cuyos orígenes se remontan al menos al Imperio romano. El legendario Camino de Santiago es un viaje largo y habéis pasado por muchas ciudades y pueblos hasta llegar aquí.\n\nLa leyenda cuenta que, durante el traslado en barco desde Jerusalén de los restos de Santiago, éstos se perdieron en el mar durante una tormenta. Pero pronto llegarían milagrosamente a la orilla, cubiertos de conchas. Es por este motivo que las vieiras se han convertido en un souvenir popular entre los peregrinos.\n\nNo dejáis de pensar en las leyendas que alimentan este lugar sagrado, mientras os abrís paso entre la muchedumbre hasta el centro de la ciudad.;;;;;;;;;x
EVTOPTA_SoA_5054;I must remember to bring a seashell home with me!;Il ne faut pas que j'oublie de rapporter une coquille à la maison !;Ich muss unbedingt eine Jakobsmuschel von der Reise mitbringen!;;¡Tengo que acordarme de llevarme una vieira a casa!;;;;;;;;;x
EVTNAME_SoA_5097;Constantinople;Constantinople;Konstantinopel;;Constantinopla;;;;;;;;;x
EVTDESC_SoA_5097;You have finally arrived at Constantinople! The city is enormous, dwarfing all other cities that you've seen. There is a bustle of people, commerce, sounds and smells that overpower your senses and leave you quite dizzy. As you make your way through the streets in order to find a place to stay, you are impressed by scale and number of the ancient churches and monuments that appear everywhere along your path.\n\nYou press on through the crowds, eager to finally look upon such fabled churches as the Hagia Sofia and the Saint George.;Vous voici enfin à Constantinople ! La ville est gigantesque et dépasse de loin toutes celles que vous connaissez. C'est une fourmilière de gens, d'échoppes, de sons et d'odeurs qui sature vos sens et vous fait tourner la tête. Alors que vous vous frayez un chemin dans les rues pour trouver un endroit où dormir, vous constatez avec émerveillement la taille et le nombre de vieilles églises et de vieux monuments qui surgissent partout autour de vous.\n\nVous traversez la foule à grands pas, impatient de poser enfin les yeux sur ces églises légendaires que sont Sainte-Sophie et Saint-Georges.;Endlich erreicht Ihr Konstantinopel! Die Stadt ist riesig. So riesig, dass alle die Städte, die Ihr bislang besucht habt, klein wie Dörfer erscheinen. Die Massen der Menschen, das Stimmengewirr und die vielen fremdartigen Gerüchen beschäftigen Eure Sinne so sehr, dass Euch beinahe schwindlig wird. Die Vielzahl der Denkmäler und Kirchen sowie die schiere Größe der Bauwerke beeindrucken Euch zutiefst.\n\nZielstrebig sucht Ihr einen Weg durch das Gedränge, beseelt von dem Wunsch zur Hagia Sofia und zur Georgskathedrale zu gelangen. ;;¡Por fin habéis llegado a Constantinopla! La ciudad es enorme, tanto que el resto de ciudades que habéis visto parecen minúsculas. El bullicio de gente, comercio, sonidos y olores resulta abrumador para vuestros sentidos y bastante aturdidor. Mientras recorréis las calles en busca de un lugar donde hospedaros, os quedáis admirado ante el tamaño y la cantidad de iglesias y monumentos antiguos con los que tropezáis en vuestro camino.\n\nSeguís adelante entre el gentío, deseoso de admirar por fin las legendarias iglesias de Santa Sofía y San Jorge.;;;;;;;;;x
EVTOPTA_SoA_5097;Ah, the City of Constantine!;Ah, la cité de Constantin !;Ah, die Stadt Konstantins!;;¡Ah, la Ciudad de Constantino!;;;;;;;;;x
EVTNAME_SoA_5098;Aksum;Axoum;Aksum;;Axum;;;;;;;;;x
EVTDESC_SoA_5098;You have finally arrived at Aksum! This is one of the oldest centers of the Christian faith, and it is here that the Ark of the Covenant is kept, guarded by monks inside the Church of Our Lady Mary of Zion. Though no longer the great city it once was, Aksum is still an important center of pilgrimage, and you can see many travellers in the streets.;Vous voici enfin à Axoum ! Il s'agit là d'un des plus anciens centres de la foi chrétienne, et c'est ici que se trouve l'Arche d'alliance, sous la protection de moines à l'intérieur de l'église Sainte-Marie de Sion. Même si elle ne possède plus sa gloire d'antan, Axoum demeure un important lieu de pèlerinage et vous pouvez voir de nombreux voyageurs dans les rues.;Endlich erreicht Ihr Aksum! Hier, in diesem historischen Zentrum des Christentums wird die Bundeslade verwahrt, bewacht und gehütet von den Mönchen der Kirche St. Maria von Zion. Auch wenn die Stadt nicht mehr die Größe früherer Tage hat, ist sie doch ein wichtiges Ziel für Pilgerfahrten und viele Reisenden sind auf den Straßen zu sehen.;;¡Por fin habéis llegado a Axum! He aquí uno de los centros más antiguos de la fe cristiana. Alberga el Arca de la Alianza, protegida por monjes dentro de la Iglesia de Nuestra Señora de Sión. Aunque ya no resplandece como la ciudad que fue, Axum sigue siendo un importante centro de peregrinaje y pueden verse muchos viajeros por sus calles.;;;;;;;;;x
EVTOPTA_SoA_5098;It is beautiful, ancient Aksum!;Voici la belle et antique Axoum !;Wie schön es ist, das antike Aksum!;;¡Es la bella y antigua Axum!;;;;;;;;;x
EVTNAME_SoA_5099;Antioch;Antioche;Antiochia;;Antioquía;;;;;;;;;x
EVTDESC_SoA_5099;You have finally arrived at Antioch! This is the oldest city of Christianity, the first place where people actually began to call themselves 'Christian'. Saint Peter and Saint Paul both worked here, as did Saint Ignatius. It is a place where early Christendom was formed and defined, and it later expanded from here, westwards, to Rome and beyond.\n\nAs your feet tread the ancient streets of Antioch, you can feel the history and tradition in the air around you.;Vous voici enfin à Antioche ! Devant vous se trouve la plus ancienne ville chrétienne, la première où les habitants portèrent pour la première fois le nom de ''chrétiens''. Saint Pierre et saint Paul ont tous les deux travaillé ici, de même que saint Ignace. C'est ici que le christianisme des premiers temps fut fondé et défini, et c'est d'ici qu'il se répandit, vers l'ouest, vers Rome et au-delà.\n\nAlors que vous marchez dans les rues antiques d'Antioche, vous ressentez l'histoire et la tradition qui vous entourent.;Endlich erreicht Ihr Antiochia! Hier, in dieser ältesten Stadt des Christentums, nannten sich die Gläubigen zum ersten Mal 'Christen'. Hier wirkten Petrus und Paulus, genauso wie der hl. Ignatius. In dieser Stadt erlebte das Christentum seine Prägung und von hier aus breitete es sich nach Westen aus, nach Rom und über die Grenzen Roms hinaus.\n\nBeinahe körperlich könnt Ihr es spüren, wie Geschichte und Tradition die Straßen erfüllen.;;"¡Por fin habéis llegado a Antioquía! Se trata de la ciudad más antigua del Cristianismo, el primer lugar donde la gente empezó a llamarse ""cristiana"". San Pedro y San Pablo trabajaron aquí, al igual que San Ignacio. Aquí se formó y definió la primera cristiandad y, desde aquí, se expandió posteriormente hacia Occidente, a Roma y más allá.n\nMientras vuestros pies pisan las antiguas calles de Antioquía, sentís la historia y la tradición que se respira en el aire.";;;;;;;;;x
EVTOPTA_SoA_5099;A great and ancient city!;Une magnifique ville antique !;Eine großartige, uralte Stadt!;;¡Una ciudad magnífica y antigua!;;;;;;;;;x
EVTDESC_SoA_5056;As you walk around on this holy ground, you ponder the secrets and the essence of God. The teachings of the holy church have never felt more relevant to you than now. Imagine the knowledge contained in the scriptures stored here!;Alors que vous marchez sur cette terre sacrée, vous méditez sur les secrets et sur l'essence de Dieu. Les enseignements de la sainte Église ne vous ont jamais parus aussi pertinents. Imaginez les connaissances renfermées dans les écritures qui se trouvent ici !;Auf Euren Spaziergängen an diesem heiligen Ort überdenkt Ihr die Geheimnisse und das Wesen Gottes. Nie schienen Euch die Lehren der Kirche wichtiger als jetzt. Welch großartigen Geheimnisse die Schriften, die man hier aufbewahrt, wohl bergen!;;Al deambular por esta tierra sagrada, reflexionáis acerca de los secretos y la esencia de Dios. Las enseñanzas de la santa iglesia nunca habían sido tan trascendentes para vos como ahora. ¡Imaginad el conocimiento que contienen las escrituras que guardan!;;;;;;;;;x
EVTOPTA_SoA_5056;The way to Heaven is through study.;Le paradis s'obtient par l'étude.;Gelehrsamkeit wird den Weg ins Himmelreich weisen.;;El Cielo se alcanza mediante el estudio.;;;;;;;;;x
EVTOPTB_SoA_5056;No, I shall spend my time praying.;Non, je dois passer mon temps à la prière.;Nein, ich widme mich dem Gebet.;;No, invertiré mi tiempo en la oración.;;;;;;;;;x
EVTDESC_SoA_5057;The saints, this holy ground, how it all moves my soul! I realize now that all my life up to this point has only been a preparation for this journey. How wondrous that the light of the Lord truly shines in me, a poor sinner. From now on I shall always do His work.;Les saints, la terre sacrée... mon âme en est toute émue ! Je comprends maintenant que toute ma vie jusqu'à cet instant n'a été qu'une préparation pour accomplir ce voyage. La lumière de Dieu qui brille en moi, pauvre pêcheur, est vraiment merveilleuse. Désormais, j'accomplirai toujours Son œuvre.;Die Heiligen und dieser geheiligte Ort berühren meine Seele. Nun verstehe ich, dass mein bisheriges Leben nur der Vorbereitung auf diese Reise gedient hat. Wie wunderbar, dass mir, einem einfachen Sünder, das Licht Gottes erscheint. Vom heutigen Tage an werde ich sein Werkzeug sein.;;Los santos, esta tierra sagrada, ¡la emoción me embarga! Ahora comprendo que toda mi vida ha sido sólo una preparación para este viaje. No hay nada más maravilloso que la luz del Señor brille realmente en mí, un pobre pecador. Desde ahora, siempre llevaré a cabo SU obra.;;;;;;;;;x
EVTOPTA_SoA_5057;Praise [Root.Religion.GetRandomGodName]!;Gloire à [Root.Religion.GetRandomGodName] !;Gelobt sei [Root.Religion.GetRandomGodName]!;;¡Alabad a [Root.Religion.GetRandomGodName]!;;;;;;;;;x
EVTDESC_SoA_5058;Traveling all this way to see the holy places, you had hoped for more than this. It's just lots of people, some churches and a few bones that really look quite suspicious. Before coming, you had read the exalted stories of other pilgrims, but this just isn't like they described it.;Après ce long voyage vers les lieux sacrés, vous restez sur votre faim. Il y a beaucoup de monde, quelques églises et des ossements ici et là qui ne vous inspirent pas confiance. Avant votre arrivée, vous avez entendu les histoires exaltées racontées par les autres pèlerins, mais rien ici ne correspond aux descriptions qu'ils en ont faites.;Nach den Strapazen Eurer Reise hättet Ihr Euch mehr als dies versprochen. Nichts als Massen von Menschen, ein paar Kirchen und einige Knochen, die Euer Misstrauen wecken. Zuhause hörtet Ihr die begeisterten Berichte der Pilger, doch nun fällt es Euch schwer, diese Begeisterung in Euch zu entdecken.;;A lo largo de todo el camino recorrido para visitar los lugares sagrados, esperabais mucho más. Sólo son montones de gente, algunas iglesias y unos huesos que resultan de lo más sospechoso. Antes de llegar, habíais leído historias glorificadas de otros peregrinos, pero no es como lo habían descrito.;;;;;;;;;x
