#EVENTS;;;;;;;;;;;;;;x
VIETmisc.8000.desc;Last night [Root.GetSheHeOpp] appeared in my dream, and we laughed and danced and talked about nothing in particular. My heart was beating so fast, for I was so nervous yet excited that even when I woke up I could still feel it. It has been so long, so many years since we last met, yet even now I still think about [Root.GetHerHimOpp].;Hier soir, [Root.GetSheHeOpp] est apparu dans mon rêve, nous avons ri, dansé et parlé de rien en particulier. Mon cœur battait si vite, j'étais si nerveux et excité que même quand je me réveillais, je pouvais encore le sentir. Cela fait si longtemps, que de nombreuses années se sont écoulées depuis notre dernière rencontre, et pourtant, je pense toujours à [Root.GetHerHimOpp].;;;;;;;;;;x;x
VIETmisc.8125.desc;A local scholar recently returned from his travels abroad, and you invited him over to share stories of all he saw and recorded. He mentioned in particular his visit to the [offmap_china.GetName] and shows you some porcelain chopsticks he received from a friend he made there. He says he wishes to present them to you as a gift.;Un universitaire local est récemment revenu de ses voyages à l'étranger et vous l'avez invité à partager des histoires de tout ce qu'il a vu et enregistré. Il a mentionné en particulier sa visite à [offmap_china.GetName] et vous a montré des baguettes en porcelaine qu'il avait reçues d'un ami qui l'avait fabriqué là-bas. Il dit qu'il souhaite vous les présenter en cadeau.;;;;;;;;;;x;x
VIETmisc.8125.a;Thanks! My old chopsticks are so drab and wretched by comparison.;Merci ! Mes vieilles baguettes sont si tristes et misérables en comparaison.;;;;;;;;;;;;x
VIETmisc.8125.b;Thanks! I don't know how to use them, but they can be decoration somewhere.;Merci ! Je ne sais pas comment les utiliser, mais elles peuvent servir de décoration quelque part.;;;;;;;;;;;;x
VIETmisc.8125.c;No thanks, I'm fine.;Non merci, cela ira.;;;;;;;;;;;;x
VIETmisc.8126.desc;Playing dice is often associated with the lower classes, gamblers, criminals, and those of little consequence, but even the upper echelons of society enjoy some good dice games. Lately, I've been interested in them, and an acquaintance of mine says they have a spare pair of dice - of lovely appearance, fit for a person of high station like me - they can lend me if I ever need it.;Jouer aux dés est souvent associé aux classes inférieures, aux joueurs, aux criminels et à ceux qui ont peu d'importance, mais même les échelons supérieurs de la société profitent de bons jeux de dés. Ces derniers temps, je me suis intéressé à eux et une de mes connaissances me dit qu'il a une paire de dés de rechange - de belle apparence, qui convient à une personne de haut rang comme moi - il peut me la prêter si j'en ai besoin.;;;;;;;;;;x;x
VIETmisc.8126.a;Sure, why not?;Bien sûr, pourquoi pas ?;;;;;;;;;;;;x
VIETmisc.8126.b;It's okay, I don't think dice games are my sort of thing.;C'est bon, je ne pense pas que les jeux de dés soient mon truc.;;;;;;;;;;;;x
VIETmisc.8127.desc;My feet feel so sore, tired, and outright miserable lately. I've thought about buying some silk slippers to walk around in when in my private quarters.;Mes pieds sont si douloureux, fatigués et carrément misérables ces derniers temps. J'ai pensé à acheter des pantoufles de soie pour me promener dans mes quartiers privés.;;;;;;;;;;x;x
VIETmisc.8127.a;Yes! That's a good idea.;Oui ! C'est une bonne idée.;;;;;;;;;;;;x
VIETmisc.8127.b;No, no. That's too extravagant.;Non, non. C'est trop extravagant.;;;;;;;;;;;;x
VIETmisc.8128.desc;The nearby land sometimes produces some fascinating finds. While walking back home one day, I saw something odd sticking out of the ground. I and my guards unearthed what scholars call an ostracon, an ancient pottery shard with inscriptions on it. This ostracon's inscriptions look crude, but it could make for a nice decoration in my residence to show how intellectual I am....;La terre voisine produit parfois des découvertes fascinantes. En rentrant chez moi un jour, j'ai vu quelque chose d'étrange qui sortait du sol. Mes gardes et moi avons mis au jour ce que les érudits appellent un ostracon, un ancien éclat de poterie portant des inscriptions. Les inscriptions de cet ostracon ont l'air brutes, mais elles pourraient constituer une belle décoration chez moi pour montrer à quel point je suis intellectuel ...;;;;;;;;;;x;x
VIETmisc.8128.a;Yes, let's put it up somewhere!;Oui, mettons ça quelque part !;;;;;;;;;;;;x
VIETmisc.8128.b;I will donate it to some local scholars for study.;Je le donnerai à des érudits de la région pour qu'ils l'étudient.;;;;;;;;;;;;x
VIETmisc.8128.c;It could be filled with ancient, evil curses! Destroy it!;Il pourrait être rempli d'anciennes malédictions maléfiques ! Détruisez-le !;;;;;;;;;;;;x
VIETmisc.8129.desc;You come across a farmer who has a scarecrow with a most curious appearance: it is an ancient terracotta sculpture he found buried in the ground a year or two ago. The clay figurine depicts an African person, with an elongated and stylized face, wearing jewels and ornaments. It is smooth and beautifully made, and it would be a shame to let it remain a scarecrow...;Vous rencontrez un paysan qui a un épouvantail avec un aspect des plus curieux : il s'agit d'une ancienne sculpture en terre cuite qu'il a trouvée ensevelie il y a un an ou deux. La figurine en argile représente un Africain au visage allongé et stylisé, portant des bijoux et des ornements. Elle est lisse et joliment faite, et il serait dommage de la laisser rester un épouvantail...;;;;;;;;;;x;x
VIETmisc.8129.a;The farmer looks happy with it;Le paysan a l'air content;;;;;;;;;;;;x
VIETmisc.8129.b;Buy it from the farmer;Achetez-la au paysan;;;;;;;;;;;;x
VIETmisc.8129.c;Force the farmer to hand it over;Forcer le paysan à vous la remettre;;;;;;;;;;;;x
VIETmisc.8129.d;Persuade the farmer to give it for free;Persuader le paysan de la donner gratuitement;;;;;;;;;;;;x
VIETmisc.8130.desc;A clay tablet was recently found by one of your servants, stashed in a nearby cave. Such a discovery is rare but not unheard of - occasionally people stumble on entire caches of these, though this one is particularly well-preserved. For centuries, the wisest scholars of the region have attempted to decipher this ancient writing, which appears like little wedges, to no avail.;Une tablette d'argile a récemment été trouvée par l'un de vos serviteurs, cachée dans une grotte à proximité. Une telle découverte est rare mais pas inconnue - des gens tombent parfois sur des caches entières, même si celle-ci est particulièrement bien conservée. Pendant des siècles, les savants les plus sages de la région ont tenté de déchiffrer cette écriture ancienne, qui apparaît comme de petites cales, en vain.;;;;;;;;;;x;x
VIETmisc.8130.a;Keep the tablet for myself.;Garder la tablette pour moi.;;;;;;;;;;;;x
VIETmisc.8130.b;Give it to a scholar - it'll be of more use that way.;Donnez-la à un érudit - cela lui sera plus utile.;;;;;;;;;;;;x
VIETmisc.8130.c;Throw it away, I don't care about it.;Jetez-la, je m'en fiche.;;;;;;;;;;;;x
VIETmisc.8130.d;My servant can keep it, as he found it.;Mon serviteur peut la garder, comme il l'a trouvée.;;;;;;;;;;;;x
VIETmisc.8131.desc;According to Roman and Greek records, in ancient times, the people dwelling where we are now were said to be uncivilized barbarians. It is certain a good number of the local leadership are descended from such people, so having such barbarian ancestors must be a stain on their honor and pride.;Selon les registres romains et grecs, dans les temps anciens, on disait que les personnes qui habitaient où nous sommes étaient des barbares non civilisés. Il est certain qu'un bon nombre de dirigeants locaux sont issus de telles personnes. Par conséquent, le fait d'avoir de tels ancêtres barbares doit nuire à leur honneur et à leur fierté.;;;;;;;;;;x;x
VIETmisc.8131.a;We have learned much and are no longer savages!;Nous avons beaucoup appris et ne sommes plus des sauvages !;;;;;;;;;;;;x
VIETmisc.8131.b;We were never barbarians to begin with - those are lies!;Nous n'avons jamais été des barbares pour commencer - ce sont des mensonges !;;;;;;;;;;;;x
VIETmisc.8131.c;We aren't related to those barbarians! My family's roots lie elsewhere.;Nous ne sommes pas liés à ces barbares ! Les racines de ma famille sont ailleurs.;;;;;;;;;;;;x
VIETmisc.8131.d;Romans and Greeks were just as merciless and vile as the barbarians.;Les Romains et les Grecs étaient aussi impitoyables et vils que les barbares.;;;;;;;;;;;;x
VIETmisc.8132.desc;I got lost and stumbled on what appeared to be an ancient graveyard or burial tomb. With much trepidation I tried to leave quickly as to not disturb the dead, when I fell into a hole and found myself face to face with a mummy! The mummy appeared to be of some woman, and it stared back at me with its empty  eye sockets.;Je me suis perdu et suis tombé sur ce qui semblait être un ancien cimetière ou une tombe funéraire. Avec beaucoup d'appréhension, j'ai essayé de partir rapidement pour ne pas déranger les morts, quand je suis tombé dans un trou et que je me suis retrouvé face à face avec une momie ! La momie semblait être une femme et me regarda fixement avec ses orbites vides.;;;;;;;;;;x;x
VIETmisc.8132.a;"My apologies for disturbing! I am lost.";"Mes excuses pour vous avoir dérangé ! Je suis perdu.";;;;;;;;;;;;x
VIETmisc.8132.b;Quietly get out and find my way home.;Sortez doucement et retrouvez le chemin du retour.;;;;;;;;;;;;x
VIETmisc.8132.c;"Ha! I'm not scared of some dead body.";"Ha ! Je n'ai pas peur d'un cadavre.";;;;;;;;;;;;x
VIETmisc.8133.desc;Eventually my guards found me and brought me home. Later that night, I dreamt that I was visited by a beautiful young lady, wearing black, and whose appearance seemed familiar. Her eyes were red with fury, her mouth a menacing grin that showed fanged teeth, and I felt a chill down my spine. "How dare you insult me, you worm! Do you know who I am? I am the ancient princess of these lands! I curse you for your insolence!";Finalement, mes gardes m'ont retrouvé et ramené à la maison. Plus tard dans la nuit, j'ai rêvé que j'étais visitée par une belle jeune femme vêtue de noir et dont l'apparence semblait familière. Ses yeux étaient rouges de fureur, sa bouche avait un sourire menaçant qui montrait des dents comme des crocs, et je sentais un frisson le long de ma colonne vertébrale. "Comment osez-vous m'insulter, vous, ver ! Savez-vous qui je suis ? Je suis l'ancienne princesse de ces terres ! Je vous maudis pour votre insolence !";;;;;;;;;;x;x
VIETmisc.8133.a;I woke up, feeling strange.;Je me suis réveillé, me sentant étrange.;;;;;;;;;;;;x
VIETmisc.8134.desc;Eventually my guards found me and brought me home. Later that night, I dreamt that I was visited by a beautiful young lady, wearing white, and whose appearance seemed familiar. Her doe eyes were soft, her mouth curled into a gentle smile, and I felt a sense of utmost comfort. "Do not fear. You are a good person. Few would speak with a mummy so kindly - I am the spirit of that mummy you met earlier, the ancient princess of these lands, and I give you my blessings.";Finalement, mes gardes m'ont retrouvé et ramené à la maison. Plus tard dans la nuit, j'ai rêvé que j'étais visitée par une belle jeune femme vêtue de blanc et dont l'apparence semblait familière. Ses yeux de biche étaient doux, sa bouche se recroquevilla dans un doux sourire et je me sentis extrêmement réconfortée. "Ne crains rien. Tu es une bonne personne. Peu de gens parlent si gentiment avec une momie. Je suis l'esprit de cette momie que tu as rencontrée plus tôt, l'ancienne princesse de ces terres, et je te bénis.";;;;;;;;;;x;x
VIETmisc.8134.a;I woke up, feeling relaxed.;Je me suis réveillé, détendu.;;;;;;;;;;;;x
VIETmisc.8135.desc;As part of your official duties, you are meeting a group of scholars from a particular part of your realm. They take you and your entourage on a trip to a nearby ruins. The leader among them begins to explain the history of these ruins and who made them, but this stuffy academic has a rather dry and boring manner of speaking, and you find yourself falling asleep.;Dans le cadre de vos fonctions officielles, vous rencontrez un groupe d'érudits appartenant à une partie particulière de votre royaume. Ils vous emmènent avec votre entourage dans des ruines voisines. Le responsable parmi eux commence à expliquer l'histoire de ces ruines et de leurs auteurs, mais cet universitaire a une manière de parler plutôt sèche et ennuyeuse, et vous vous endormez.;;;;;;;;;;x;x
VIETmisc.8135.a;I'll take a nap - I'm the [Root.GetTitle], they won't protest!;Je vais faire une sieste - je suis le [Root.GetTitle], ils ne protesteront pas !;;;;;;;;;;;;x
VIETmisc.8135.b;I'll pretend to listen while admiring the scenery.;Je ferai semblant d'écouter en admirant le paysage.;;;;;;;;;;;;x
VIETmisc.8135.c;"Actually, according to the treatise written by...";"En fait, selon le traité écrit par...";;;;;;;;;;;;x
VIET_scholar_lecture_correction; \n\nYou correct the scholars and impress them with your knowledge.; \n\nVous corrigez les savants et les impressionner avec vos connaissances.;;;;;;;;;;x;x
VIETmisc.8136.desc;An ancient marble statue of a man was discovered buried in the wilderness. According to various scholars' assertions, it was perhaps made by ancient Romans or Hellenes many centuries ago. Regardless, perhaps you would like to keep this statue for yourself?;Une ancienne statue en marbre d'un homme a été découverte ensevelie dans le désert. Selon les affirmations de divers érudits, elle aurait été fait il y a plusieurs siècles par les anciens Romains ou Grecs. Quoi qu'il en soit, vous voudriez peut-être garder cette statue pour vous-même ?;;;;;;;;;;x;x
VIETmisc.8136.a;Those chiseled muscles... I like them....;Ces muscles ciselés... je les aime...;;;;;;;;;;;;x
VIETmisc.8136.b;I am not interested in keeping this false idol!;Garder cette fausse idole ne m'intéresse pas !;;;;;;;;;;;;x
VIETmisc.8136.c;It'd be a fitting decoration in one of my rooms.;Ce serait une décoration appropriée dans l'une de mes chambres.;;;;;;;;;;;;x
VIETmisc.8136.d;I want to spend some time studying this statue.;Je veux passer du temps à étudier cette statue.;;;;;;;;;;;;x
VIETmisc.8137.desc;The elders are telling me stories about the foreign peoples who came to India many centuries ago, in ancient times. The ones that interest me the most are the...;Les anciens me racontent des histoires sur les peuples étrangers qui sont venus d'Inde il y a plusieurs siècles, dans les temps anciens. Ceux qui m'intéressent le plus sont les...;;;;;;;;;;x;x
