#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#text1.csv replacements
ALLOW_REVOKATION_ON;Revocation of titles Allowed\n;Annulation des titres autorisée;Entzug gewährter Titel gestattet;;Revocación de títulos permitida;;;;;;;;;x
EVTDESC_SoA_5050;You have finally arrived at Canterbury! It is beautifully situated on the river Stour in Kent in southeast England. The town itself and the surrounding meadows are full of pilgrims from all over Europe. You start to make your way through the hustle and bustle, eager to see the famous cathedral and contemplate the tomb of the martyr Thomas Becket, who was viciously murdered inside the cathedral itself.;Vous voici enfin à Canterbury ! Une belle cité sur le fleuve Stour dans le Kent, dans le sud-est de l'Angleterre. La ville elle-même et les plaines environnantes sont pleines de pèlerins venus de toute l'Europe. Vous vous frayez un chemin à travers la foule, désireux de voir la célèbre cathédrale et de vous recueillir devant le tombeau du martyr Thomas Becket, cruellement assassiné dans la cathédrale.;Endlich erreicht Ihr Canterbury! Der Ort, der in schönster Gegend am Fluss Stour in Kent im Südosten Englands gelegen ist, erlebt gerade einen Ansturm von Pilgern aus allen Teilen Europas. Ihr stürzt Euch ins Gedränge und nehmt Kurs auf die berühmte Kathedrale sowie auf das Grab des Märtyrers Thomas Becket, der im Inneren der Kathedrale heimtückisch ermordet wurde.;;¡Por fin habéis llegado a Canterbury! Os encontráis en un enclave precioso, el río Stour, en Kent, en el sudeste de Inglaterra. La propia ciudad y los prados que la rodean están llenos de peregrinos procedentes de toda Europa. Emprendéis vuestro camino a través del vaivén, deseando ver la famosa catedral y contemplar la tumba del mártir Tomás Becket, brutalmente asesinado dentro de la propia catedral.;;;;;;;;;x
EVTOPTA_SoA_5050;A green and pleasant land!;Quel bel endroit verdoyant !;Ein grünes und freundliches Fleckchen!;;¡Una tierra verde y agradable!;;;;;;;;;x
EVTNAME_SoA_5051;Jerusalem;Jérusalem;Jerusalem;;Jerusalén;;;;;;;;;x
EVTDESC_SoA_5051;You have finally arrived at Jerusalem! Passing by the Mount of Olives, you enter through the city gate and are immediately overcome by a feeling of having made a truly epic journey. The city is filled with people of all creeds and colors, the air heavy with smells of strange spices and foreign plants. You make your way through the throng of people and animals, excited by the knowledge that you are now close to the Via Dolorosa and the other holy places. You plan to also visit the Church of the Nativity in Bethlehem, but first of all you need to find someplace to stay. After all, you wouldn't want to be forced to sleep in a stable, would you?;Vous voici enfin à Jérusalem ! Après le mont des Oliviers, vous passez la porte de la ville et immédiatement la sensation vous envahit : vous venez d'accomplir un voyage épique. La ville est remplie de gens de toutes religions et de toutes origines, l'air est chargé d'odeurs d'épices étranges et de plantes inconnues. Vous vous frayez un chemin à travers la foule et les animaux, enthousiaste à l'idée que vous êtes si proche de la Via Dolorosa et des autres lieux saints. Vous projetez également de visiter l'église de la Nativité à Bethléem, mais tout d'abord il vous faut trouver un endroit où vous reposer. Vous ne voudriez quand même pas dormir dans une étable !;Endlich erreicht Ihr Jerusalem! Als Ihr, den Ölberg hinter Euch lassend, das Stadttor durchschreitet, wird Euch schlagartig bewusst, welch herausragende Bedeutung diese Reise für Euch haben wird. Die Stadt bietet ein buntes Bild aus Menschen der verschiedensten Konfessionen und Hautfarben und die Luft ist erfüllt vom Aroma fremdartiger Gewürze und exotischer Pflanzen. Ihr bahnt Euch einen Weg durch das Gedränge und das Gefühl, der Via Dolorosa und anderen heiligen Orten so nahe zu sein, erfüllt Euch mit gespannter Aufmerksamkeit. Auch nach Bethlehem, zur Geburtsstätte Jesu, wollt Ihr Euch in naher Zukunft aufmachen, doch zuerst benötigt Ihr eine Unterkunft. Denn in einem Stall schlafen, das möchtet Ihr sicherlich nicht, oder?;;¡Por fin habéis llegado a Jerusalén! Pasando el Monte de los Olivos, atravesáis la puerta de la ciudad e inmediatamente os invade el sentimiento de haber realizado un viaje realmente épico. La ciudad está llena de gente de todos los credos y colores, y el aire está cargado de olores de especias y plantas extrañas. Os abrís camino entre la muchedumbre de personas y animales, entusiasmado sabiéndoos cerca de la Vía Dolorosa y otros lugares sagrados. También habéis previsto visitar la Basílica de la Natividad en Belén, pero antes tenéis que encontrar un sitio donde alojaros. Después de todo, no querréis acabar durmiendo en un establo, ¿verdad?;;;;;;;;;x
EVTOPTA_SoA_5051;O Jerusalem, Jerusalem!;Ô Jérusalem, Jérusalem !;Oh, Jerusalem! Jerusalem!;;¡Oh Jerusalén, Jerusalén!;;;;;;;;;x
EVTNAME_SoA_5052;Cologne;Cologne;Köln;;Colonia;;;;;;;;;x
EVTDESC_SoA_5052;You have finally arrived at Cologne! The mighty cathedral housing the relics of the Three Kings is still under construction, but it is an impressive structure nonetheless. The city itself lies on the mighty river Rhine, and busy commerce mingles with the flow of pilgrims.;Vous voici enfin à Cologne ! La grande cathédrale qui abrite les reliques des trois rois mages est encore en construction, mais ce n'en est pas moins une structure impressionnante. La ville elle-même est construite sur le Rhin et une importante activité commerciale se mêle au flot des pèlerins.;Endlich erreicht Ihr Köln! Auch wenn die Arbeiten am mächtigen Dom, in dem sich die Reliquien der Hl. Drei Könige befinden, noch andauern, bietet sich Euch ein beeindruckendes Bild des imposanten Bauwerks. Die Straßen der Metropole am Rhein werden belebt vom geschäftigen Treiben der Pilger und Händler.;;¡Por fin habéis llegado a Colonia! La inmensa catedral que alberga las reliquias de los Reyes Magos sigue en construcción, pero no por ello deja de ser una estructura impresionante. La propia ciudad se encuentra en el enorme río Rin y el ajetreado comercio se entremezcla con el flujo de peregrinos.;;;;;;;;;x
EVTOPTA_SoA_5052;I will pray at the Shrine of the Three Kings!;Allons prier au sanctuaire des rois mages !;Ich werde am Schrein der Heiligen Drei Könige beten!;;¡Rezaré en el sepulcro de los Reyes Magos!;;;;;;;;;x
EVTNAME_SoA_5053;Rome;Rome;Rom;;Roma;;;;;;;;;x
EVTDESC_SoA_5053;You have finally arrived at Rome! As you enter the Eternal City, you are struck by the many ancient buildings and monuments that you pass by. It is truly impressive, and you try to imagine how the apostles felt when they first came here on their holy mission at a time when the city's power was at its peak. Though large areas seem to be depopulated, the city still boasts an impressive population concentrated around the Tiber river. The holy sites you want to visit are primarily the basilicas of Saint Peter and Saint Paul, as well as other early churches and places connected to the martyrs. You start making your way to the center of the city, hoping that you won't get lost in traffic as the crowds start to get more dense.;Vous voici enfin à Rome ! Alors que vous entrez dans la ville éternelle, vous êtes frappé par le nombre de bâtiments et de monuments anciens que vous voyez. Cela fait sur vous une forte impression et vous tentez d'imaginer ce qu'ont pu ressentir les apôtres lorsqu'ils sont arrivés ici la première fois pour accomplir leur mission, à une époque où la cité était au faîte de sa puissance. Aujourd'hui, d'importants quartiers semblent dépeuplés mais la ville regroupe tout de même une importante population concentrée autour du Tibre. Les sites sacrés que vous voulez visiter sont notamment les basiliques Saint-Pierre et Saint-Paul, ainsi que d'autres églises primitives et des lieux associés aux martyrs. Vous vous frayez un chemin jusqu'au centre de la ville, espérant ne pas vous perdre alors que la foule autour de vous devient de plus en plus dense.;Endlich erreicht Ihr Rom! Schon kurz nachdem Ihr die Ewige Stadt betretet, seid Ihr tief beeindruckt von der Vielzahl antiker Gebäude und Denkmäler. Ihr versucht Euch auszumalen, wie diese Ehrfurcht gebietende Stadt zu ihrer Blütezeit wohl auf die Apostel gewirkt haben mag, als diese vor langer Zeit in heiliger Mission hierher kamen. Auch wenn weite Teile der Stadt nicht mehr bewohnt sind, so wohnen doch noch immer viele Menschen in der Stadt, insbesondere an den Ufern des Tibers. Besonders die Basilika St. Paul und den Petersdom möchtet Ihr besichtigen, doch auch die anderen frühchristlichen Kirchen und die Plätze der Märtyrier möchtet Ihr erleben. So lasst Ihr Euch vom Strom der Menschen in Richtung des Zentrums tragen und hofft, dass Ihr den richtigen Weg finden werdet.;;¡Por fin habéis llegado a Roma! Al entrar en la Ciudad Eterna, descubrís los muchos edificios y monumentos antiguos que alberga. Es realmente impresionante. Tratáis de imaginar cómo se sintieron los apóstoles cuando llegaron por primera vez en su misión sagrada en la época de máximo apogeo del poder de la ciudad. Aunque amplias zonas parecen despobladas, la ciudad sigue alardeando de una población impresionante que se concentra alrededor del río Tíber. Los lugares sagrados que queréis visitar son, principalmente, las basílicas de San Pedro y San Pablo, así como otras iglesias antiguas y lugares relacionados con los mártires. Iniciáis vuestro camino hacia el centro de la ciudad, esperando no perderos entre el tráfico, pues cada vez hay más gente.;;;;;;;;;x
EVTOPTA_SoA_5053;A thousand roads lead men forever to Rome!;Tous les chemins mènent à Rome !;Tausend Wege führen die Menschen auf ewig nach Rom!;;¡Todos los caminos conducen a Roma!;;;;;;;;;x
EVTNAME_SoA_5054;Santiago;Santiago;Santiago;;Santiago;;;;;;;;;x
EVTDESC_SoA_5054;You have finally arrived at Santiago, the oldest major pilgrimage site in the West. It is an inland town close to the Atlantic Ocean, with origins going back at least to the Roman Empire. The fabled Way of Saint James is a long road to travel, and you have passed through many towns and villages on your way here.\n\nThe legend holds that as Saint James' remains were brought here by ship from Jerusalem, they were lost at sea due to a storm. But soon after they were miraculously washed ashore, covered in scallops. Because of this, scallop shells have become a popular souvenir among pilgrims.\n\nYour mind dwells on the legends of this holy place,  as you make your way through the crowds towards the center of town.;Vous voici enfin à Santiago, le plus ancien lieu de pèlerinage de l'ouest. La ville est proche de l'océan Atlantique et son origine remonte au moins à l'Empire romain. La célèbre route de saint Jacques est longue et vous avez traversé de nombreuses villes et villages avant d'arriver ici.\n\nSelon la légende, lorsque les restes de saint Jacques ont été apportés ici par bateau depuis Jérusalem, une tempête éclata et on les perdit en mer. Mais ils furent bientôt retrouvés sur le rivage, couverts de coquilles. C'est pour cette raison que les coquilles St-Jacques sont devenus très populaires auprès des pèlerins.\n\nVous songez aux légendes qui concernent ce lieu saint alors que vous vous frayez un chemin vers le centre de la ville.;Endlich erreicht Ihr Santiago, die älteste Pilgerstätte im Westen. Die Stadt liegt landeinwärts, in der Nähe des Atlantiks, und hat römische Wurzeln. Dem berühmten Jakobsweg folgend, habt Ihr viele Städte und Dörfer am Wegesrand hinter Euch gelassen.\n\nDer Legende nach war das Schiff, das die Gebeine des Hl. Jakobus hierher bringen sollte, in einem Sturm gesunken, doch wie durch ein Wunder fand man seine sterblichen Überreste an Land gespült wieder, nunmehr mit Muscheln bedeckt. So kam es, dass diese Jakobsmuscheln bei den Pilgern zu einem besonders beliebten Souvenir avancierten.\n\nEure Gedanken kreisen um diese und andere Legenden, als Ihr Euch im Strom der Menschen dem Zentrum der Stadt nähert.;;Por fin habéis llegado a Santiago, el escenario de peregrinación de mayor relevancia y antigüedad de Occidente. Es una población de interior cercana al océano Atlántico, cuyos orígenes se remontan al menos al Imperio romano. El legendario Camino de Santiago es un viaje largo y habéis pasado por muchas ciudades y pueblos hasta llegar aquí.\n\nLa leyenda cuenta que, durante el traslado en barco desde Jerusalén de los restos de Santiago, éstos se perdieron en el mar durante una tormenta. Pero pronto llegarían milagrosamente a la orilla, cubiertos de conchas. Es por este motivo que las vieiras se han convertido en un souvenir popular entre los peregrinos.\n\nNo dejáis de pensar en las leyendas que alimentan este lugar sagrado, mientras os abrís paso entre la muchedumbre hasta el centro de la ciudad.;;;;;;;;;x
EVTOPTA_SoA_5054;I must remember to bring a seashell home with me!;Il ne faut pas que j'oublie de rapporter une coquille à la maison !;Ich muss unbedingt eine Jakobsmuschel von der Reise mitbringen!;;¡Tengo que acordarme de llevarme una vieira a casa!;;;;;;;;;x
EVTNAME_SoA_5097;Constantinople;Constantinople;Konstantinopel;;Constantinopla;;;;;;;;;x
EVTDESC_SoA_5097;You have finally arrived at Constantinople! The city is enormous, dwarfing all other cities that you've seen. There is a bustle of people, commerce, sounds and smells that overpower your senses and leave you quite dizzy. As you make your way through the streets in order to find a place to stay, you are impressed by scale and number of the ancient churches and monuments that appear everywhere along your path.\n\nYou press on through the crowds, eager to finally look upon such fabled churches as the Hagia Sofia and the Saint George.;Vous voici enfin à Constantinople ! La ville est gigantesque et dépasse de loin toutes celles que vous connaissez. C'est une fourmilière de gens, d'échoppes, de sons et d'odeurs qui sature vos sens et vous fait tourner la tête. Alors que vous vous frayez un chemin dans les rues pour trouver un endroit où dormir, vous constatez avec émerveillement la taille et le nombre de vieilles églises et de vieux monuments qui surgissent partout autour de vous.\n\nVous traversez la foule à grands pas, impatient de poser enfin les yeux sur ces églises légendaires que sont Sainte-Sophie et Saint-Georges.;Endlich erreicht Ihr Konstantinopel! Die Stadt ist riesig. So riesig, dass alle die Städte, die Ihr bislang besucht habt, klein wie Dörfer erscheinen. Die Massen der Menschen, das Stimmengewirr und die vielen fremdartigen Gerüchen beschäftigen Eure Sinne so sehr, dass Euch beinahe schwindlig wird. Die Vielzahl der Denkmäler und Kirchen sowie die schiere Größe der Bauwerke beeindrucken Euch zutiefst.\n\nZielstrebig sucht Ihr einen Weg durch das Gedränge, beseelt von dem Wunsch zur Hagia Sofia und zur Georgskathedrale zu gelangen. ;;¡Por fin habéis llegado a Constantinopla! La ciudad es enorme, tanto que el resto de ciudades que habéis visto parecen minúsculas. El bullicio de gente, comercio, sonidos y olores resulta abrumador para vuestros sentidos y bastante aturdidor. Mientras recorréis las calles en busca de un lugar donde hospedaros, os quedáis admirado ante el tamaño y la cantidad de iglesias y monumentos antiguos con los que tropezáis en vuestro camino.\n\nSeguís adelante entre el gentío, deseoso de admirar por fin las legendarias iglesias de Santa Sofía y San Jorge.;;;;;;;;;x
